Wall time,Step,Value
1754331633.5631852,1672,16.503036499023438
1754331633.6328316,2112,15.850360870361328
1754331633.88778,3744,15.806809425354004
1754331633.910998,3904,16.944927215576172
1754331634.077582,4968,17.6567325592041
1754331634.261085,6152,17.605276107788086
1754331634.3182735,6536,17.979204177856445
1754331634.5738657,8272,20.28279685974121
1754331642.8451493,15448,35.76719665527344
1754331643.7048876,16032,39.4234504699707
1754331647.074074,18328,57.279335021972656
1754331652.499737,22024,89.64453887939453
1754331653.3695474,22616,94.96436309814453
1754331675.7193284,37832,185.58555603027344
1754331678.2180812,39536,187.00021362304688
1754331690.1610467,47680,211.71768188476562
1754331693.2730439,49800,218.75985717773438
1754331697.3676062,52592,225.9202880859375
1754331701.3462312,55304,237.9145050048828
1754331726.288186,72248,300.2648010253906
1754331727.7363322,73224,301.21240234375
1754331733.7792225,77328,293.7967224121094
1754331748.1075432,87096,286.92291259765625
1754331753.986563,91104,289.314208984375
1754331768.9292452,101296,304.3662109375
1754331812.3486469,130920,348.95928955078125
1754331812.6526546,131128,356.7507019042969
1754331832.0274472,144352,418.10400390625
1754331835.8270857,146936,443.7989501953125
1754331850.651855,157024,510.57476806640625
1754331853.1250937,158712,508.07855224609375
1754331854.0632536,159352,506.00665283203125
1754331863.8215997,166008,478.0500183105469
1754331880.484422,177376,440.1499938964844
1754331901.9482658,192040,508.0758972167969
1754331926.6265724,208904,566.8535766601562
1754331956.0956876,229072,576.28173828125
1754331967.5399568,236904,593.1536254882812
1754331974.2300763,241488,595.691650390625
1754331982.947961,247464,603.7395629882812
1754331983.203321,247640,608.7772216796875
1754332022.63106,274592,628.041748046875
1754332039.1252165,285864,623.1475830078125
1754332047.4329422,291528,609.5004272460938
1754332048.4331477,292208,608.0814819335938
1754332050.8618195,293864,607.1429443359375
1754332054.6499662,296456,606.4100952148438
1754332056.91622,298000,603.9837036132812
1754332070.6236851,307360,589.502197265625
1754332081.7882547,314968,576.6563720703125
1754332130.1546154,347960,578.662353515625
1754332140.2192883,354808,608.6495361328125
1754332151.3834045,362464,655.7233276367188
1754332183.5722501,384544,741.5489501953125
1754332189.6550658,388712,740.379150390625
1754332204.073287,398576,756.1742553710938
1754332210.4037037,402888,770.1766967773438
1754332213.506102,405008,774.1123046875
1754332226.9199371,414168,799.715087890625
1754332234.8750548,419600,800.4415893554688
1754332237.8651543,421632,796.8875122070312
1754332245.24313,426656,793.723388671875
1754332248.3559194,428768,790.6301879882812
1754332254.5152953,432912,790.8563842773438
1754332260.5604305,436976,792.8895263671875
1754332268.637531,442448,799.0674438476562
1754332270.3145251,443584,796.3781127929688
1754332301.2730992,464720,728.0250244140625
1754332306.2060714,468088,718.2594604492188
1754332347.0135462,495904,699.8782348632812
1754332357.7279954,503200,731.1792602539062
1754332366.985579,509512,759.3826293945312
